RSO_Identifier,RSO_Weight,RSO_Density,RSO_Visibility,RSO_Name,RSO_MRP,Orbit_Identifier,Orbit_Establishment_Year,Orbit_Height,Stealth_Type,RSO_Type,Survivability
FDK40,7.035,Low,0.021938404,PROBA,264.691,OUT018,2009,MEO,Stealth_2,RSO_Type2,5785.802
FDQ19,,Regular,0.014295564,EnviSAT,264.6512,OUT027,2007,MEO,Stealth_4,RSO_Type3,12117.56
FDV49,10,Low,0.025867353,Pleiades,264.6226,OUT049,2009,MEO,Stealth_4,RSO_Type1,4757.8068
FDK51,19.85,Low,0.005264755,Landsat,224.5884,OUT017,2007,,Stealth_2,RSO_Type1,5829.7448
FDL58,5.78,Regular,0.074451126,CBERS,224.5568,OUT018,2009,GEO,Stealth_3,RSO_Type2,6327.7632
FDB15,10.895,Low,0.136696892,Landsat,204.5568,OUT013,2007,GEO,Stealth_2,RSO_Type1,5536.7928
FDY14,10.3,High,0.070149088,Landsat,204.5226,OUT049,2007,MEO,Stealth_2,RSO_Type1,3436.1938
FDX31,20.35,Regular,0.014885998,EnviSAT,264.4958,OUT018,2009,MEO,Stealth_4,RSO_Type2,3271.7412
FDA21,13.65,Low,0.035930784,CBERS,264.4924,OUT013,2009,GEO,Stealth_4,RSO_Type1,9069.5276
FDO09,13.5,Regular,0.125469442,CBERS,244.491,OUT049,2000,GEO,Stealth_3,RSO_Type1,6574.775
FDF05,17.5,Low,0.02687089,PROBA,224.491,OUT046,2007,LEO,Stealth_2,RSO_Type1,3681.874
FDG26,18.85,Low,0.04282359,Pleiades,264.433,OUT018,2009,MEO,Stealth_4,RSO_Type2,2050.664
FDC50,15.85,Low,0.137053947,Pleiades,264.4094,OUT018,2009,MEO,Stealth_4,RSO_Type2,1047.3034
FDF05,17.5,Low,0.026925385,PROBA,224.391,OUT045,2002,,Stealth_2,RSO_Type1,5259.82
FDB15,10.895,Low,0.137368051,Landsat,264.3568,OUT018,2009,GEO,Stealth_3,RSO_Type2,4745.8224
FDX02,16,Low,0.057292529,Landsat,264.3404,OUT018,2009,MEO,Stealth_4,RSO_Type2,4500.808
NCM05,6.825,Low,0.059835659,Dove,204.3226,OUT035,2004,LEO,Stealth_1,RSO_Type1,4229.1616
FDW34,,Low,0.035406842,CBERS,264.317,OUT027,2007,MEO,Stealth_4,RSO_Type3,8262.578
FDP33,,Low,0.088839949,CBERS,264.2672,OUT027,2008,MEO,Stealth_4,RSO_Type3,10993.6896
FDZ43,,Regular,0.056782237,EnviSAT,264.2512,OUT027,2008,MEO,Stealth_4,RSO_Type3,8239.9408
FDS56,5.785,Regular,0.038976089,EnviSAT,204.2252,OUT017,2007,,Stealth_1,RSO_Type1,3934.878
FDS13,6.465,Low,0.124758619,Pleiades,224.1884,OUT045,2002,,Stealth_2,RSO_Type1,3444.8492
FDI15,13.8,Low,0.141352562,Landsat,204.1884,OUT046,1997,LEO,Stealth_1,RSO_Type1,3179.8608
NCS29,,Low,0.121765124,Dove,164.1884,OUT019,1985,LEO,Stealth_0,RSO_Type4,2264.9884
FDI09,20.75,Regular,0.129864461,CartoSAT,264.188,OUT018,2009,MEO,Stealth_4,RSO_Type2,5992.2
NCG43,20.2,Low,0.074541867,Corona,264.1462,OUT018,2009,MEO,Stealth_4,RSO_Type2,1758.3778
FDA47,10.5,Regular,0.117149075,EO-1,264.121,OUT018,2009,MEO,Stealth_4,RSO_Type2,1794.331
DRK23,8.395,Low,0.07226985,SPOT,264.104,OUT018,2009,MEO,Stealth_4,RSO_Type2,3542.056
FDY02,,Regular,0.153456703,Landsat,164.091,OUT019,1985,LEO,Stealth_0,RSO_Type4,2262.991
FDK51,19.85,Low,0.005234153,Landsat,224.0884,OUT035,2004,GEO,Stealth_2,RSO_Type1,5829.7448
NCS29,,High,0.069208684,Dove,204.0884,OUT027,1985,MEO,Stealth_1,RSO_Type3,4504.8028
FDP16,18.6,Low,0.039454924,PROBA,264.0802,OUT018,2009,MEO,Stealth_4,RSO_Type2,3193.8426
FDL58,5.78,Regular,0.074135053,CBERS,204.0568,OUT035,2004,LEO,Stealth_1,RSO_Type1,2109.2544
DRG37,16.2,Low,0.019457372,Sentinel,263.9972,OUT018,2009,LEO,Stealth_4,RSO_Type2,1246.3776
FDY02,,Regular,0.087221497,Landsat,263.991,OUT027,2009,MEO,Stealth_4,RSO_Type3,9467.676
NCB31,6.235,Low,0.118651919,Corona,213.991,OUT035,2004,LEO,Stealth_1,RSO_Type1,4207.856
DRO47,10.195,Low,0.112681821,SPOT,263.986,OUT018,2009,MEO,Stealth_4,RSO_Type2,452.744
FDU12,15.5,Regular,0.075904695,EO-1,213.9568,OUT045,2002,,Stealth_1,RSO_Type1,4745.8224
FDS56,5.785,Regular,0.038724612,EnviSAT,263.9252,OUT013,2000,GEO,Stealth_3,RSO_Type1,6033.4796
DRL01,,Regular,0.076798609,Sentinel,263.8958,OUT027,2009,MEO,Stealth_4,RSO_Type3,8413.0488
FDU12,,Regular,0.132630345,EO-1,263.8568,OUT019,1985,LEO,Stealth_0,RSO_Type4,2790.9704
NCB31,6.235,Low,0.119157788,Corona,263.791,OUT018,2009,MEO,Stealth_4,RSO_Type2,2103.928
FDK40,7.035,High,0.021883368,PROBA,223.791,OUT049,2004,MEO,Stealth_2,RSO_Type1,4996.829
FDF39,14.85,Regular,0.019550858,Landsat,203.791,OUT045,2002,,Stealth_1,RSO_Type1,4207.856
FDI15,13.8,Low,0,Landsat,263.7884,OUT049,2000,GEO,Stealth_3,RSO_Type1,3709.8376
FDI15,13.8,Low,0.141234932,Landsat,213.7884,OUT013,2004,GEO,Stealth_2,RSO_Type1,5564.7564
FDR25,,Regular,0.138846289,Pleiades,203.7884,OUT027,1985,MEO,Stealth_1,RSO_Type3,1324.942
FDB15,10.895,Low,0.137023446,Landsat,263.7568,OUT049,2000,GEO,Stealth_3,RSO_Type1,7646.0472
FDL58,5.78,Regular,0,CBERS,203.7568,OUT017,2007,,Stealth_1,RSO_Type1,2636.568
NCM05,,Low,0.059557164,Dove,263.7226,OUT027,2002,GEO,Stealth_3,RSO_Type3,6872.3876
FDP57,17.5,Low,0.052657753,CBERS,263.699,OUT018,2009,MEO,Stealth_4,RSO_Type2,1031.99
NCS06,7.935,Low,0,Corona,163.691,OUT046,1997,LEO,Stealth_0,RSO_Type1,2788.973
FDR59,,Regular,0.063554289,Quickbird,203.6594,OUT027,1985,MEO,Stealth_1,RSO_Type3,3401.5722
FDY14,10.3,Low,0.070026951,Landsat,263.6226,OUT035,2004,LEO,Stealth_3,RSO_Type1,6608.065
DRF37,17.25,Low,0,Sentinel,203.591,OUT045,2002,,Stealth_1,RSO_Type1,2788.973
NCS06,,Low,0.055566935,Corona,163.591,OUT019,1985,LEO,Stealth_0,RSO_Type4,2262.991
FDI15,13.8,Low,0.14215211,Landsat,213.5884,OUT017,2007,,Stealth_1,RSO_Type1,2384.8956
FDG33,5.365,Regular,0.140811559,CartoSAT,263.5764,OUT018,2009,MEO,Stealth_4,RSO_Type2,2061.3168
FDY02,8.945,Regular,0.087629354,Landsat,213.491,OUT035,2004,LEO,Stealth_1,RSO_Type1,1840.937
FDN48,13.35,Low,0.065215312,EO-1,263.4804,OUT018,2009,MEO,Stealth_4,RSO_Type2,1102.5648
FDI34,10.65,Regular,0.085482761,CBERS,263.4668,OUT018,2009,MEO,Stealth_4,RSO_Type2,3225.1352
FDB15,10.895,Low,0.228993134,Landsat,203.4568,OUT010,1998,,Stealth_1,RSO_Type4,527.3136
DRF37,17.25,Low,0.084316691,Sentinel,263.391,OUT035,2004,LEO,Stealth_3,RSO_Type1,6311.784
FDV26,,Regular,0.075791641,Landsat,263.3794,OUT027,2008,MEO,Stealth_4,RSO_Type3,8388.4142
NCB31,6.235,Low,0.118858866,Corona,203.291,OUT049,1999,MEO,Stealth_1,RSO_Type1,3418.883
FDK40,7.035,Low,0,PROBA,203.291,OUT010,1998,,Stealth_1,RSO_Type4,2525.982
FDR12,12.6,Regular,0.031663212,EO-1,263.2764,OUT018,2009,MEO,Stealth_4,RSO_Type2,1030.6584
FDR59,14.5,Regular,0.063810405,Quickbird,203.2594,OUT013,2009,GEO,Stealth_4,RSO_Type1,2878.2534
FDV49,10,Low,0.025827199,Pleiades,263.2226,OUT046,1997,LEO,Stealth_1,RSO_Type1,3700.5164
FDY03,17.6,Regular,0.076431919,Terra,263.2202,OUT018,2009,MEO,Stealth_4,RSO_Type2,2025.3636
DRF37,17.25,Low,0.084676173,Sentinel,263.191,OUT018,2009,GEO,Stealth_3,RSO_Type2,3944.865
FDK40,,Low,0.021743592,PROBA,263.191,OUT027,2009,GEO,Stealth_3,RSO_Type3,6574.775
FDS13,6.465,Low,0,Pleiades,263.1884,OUT018,2009,MEO,Stealth_4,RSO_Type2,2914.8724
FDI15,,Low,0.24749009,Landsat,163.1884,OUT019,1985,LEO,Stealth_0,RSO_Type4,2529.9768
FDR59,14.5,Regular,0.063962842,Quickbird,203.1594,OUT049,1999,MEO,Stealth_1,RSO_Type1,2616.594
NCS06,7.935,Low,0.031710329,Corona,223.091,OUT013,2004,GEO,Stealth_2,RSO_Type1,5522.811
FDB15,10.895,Low,0.136810742,Landsat,213.0568,OUT046,1997,LEO,Stealth_1,RSO_Type1,2527.3136
FDZ20,,Low,0,EnviSAT,263.0356,OUT027,2007,MEO,Stealth_4,RSO_Type3,11445.102
FDG47,12.8,Low,0.069560905,RapidEye,213.0252,OUT013,2004,GEO,Stealth_2,RSO_Type1,2885.5772
FDY14,10.3,Low,0.069981909,Landsat,263.0226,OUT013,2007,GEO,Stealth_3,RSO_Type1,6079.4198
FDY14,10.3,Low,0.070040195,Landsat,203.0226,OUT046,1997,LEO,Stealth_1,RSO_Type1,4229.1616
NCL06,14.65,Low,0.072178679,Corona,222.9594,OUT049,2004,MEO,Stealth_2,RSO_Type1,5233.188
FDU12,15.5,Regular,0.075688032,EO-1,202.9568,OUT013,1987,GEO,Stealth_1,RSO_Type1,1845.5976
FDP28,13.65,Regular,0.080765853,PROBA,222.8936,OUT049,2004,MEO,Stealth_2,RSO_Type1,4958.8784
NCB31,,Low,0.118099673,Corona,222.891,OUT027,2004,MEO,Stealth_2,RSO_Type3,5522.811
FDO09,,Regular,0,CBERS,162.891,OUT019,1985,LEO,Stealth_0,RSO_Type4,3788.973
FDU12,15.5,Regular,0.07575107,EO-1,222.8568,OUT046,2004,GEO,Stealth_2,RSO_Type1,5800.4496
FDG47,12.8,Low,0.070012633,RapidEye,212.8252,OUT017,2007,,Stealth_1,RSO_Type1,2885.5772
FDK40,7.035,Low,0.02189371,PROBA,222.791,OUT045,2002,LEO,Stealth_2,RSO_Type1,3681.874
FDR59,14.5,Regular,0.064224789,Quickbird,262.7594,OUT017,2007,,Stealth_3,RSO_Type1,7064.8038
FDU12,,Regular,0.075384242,EO-1,262.7568,OUT027,2007,GEO,Stealth_3,RSO_Type3,7646.0472
FDV49,10,Low,0.025822315,Pleiades,212.7226,OUT035,2004,LEO,Stealth_1,RSO_Type1,3171.8712
NCM05,6.825,Low,0.100171568,Dove,212.7226,OUT010,1998,,Stealth_1,RSO_Type4,2264.3226
FDP28,13.65,Regular,0.080640478,PROBA,212.6936,OUT046,1997,LEO,Stealth_1,RSO_Type1,4175.8976
FDK40,7.035,Low,0,PROBA,262.691,OUT013,2008,GEO,Stealth_4,RSO_Type1,6048.793
FDS56,5.785,Regular,0.038817121,EnviSAT,222.6252,OUT049,2002,MEO,Stealth_2,RSO_Type1,2524.6504
FDV49,,Low,0.025702129,Pleiades,262.6226,OUT027,2007,GEO,Stealth_3,RSO_Type3,7136.7102
FDF05,17.5,Low,0.026980351,PROBA,262.591,OUT018,2009,GEO,Stealth_3,RSO_Type2,4207.856
FDF39,14.85,Regular,0.019511288,Landsat,222.591,OUT046,2002,LEO,Stealth_2,RSO_Type1,4996.829
NCM05,6.825,Low,0.059846975,Dove,262.5226,OUT046,2005,GEO,Stealth_3,RSO_Type1,9779.9362
FDF05,17.5,Low,0.027022883,PROBA,222.491,OUT017,2007,,Stealth_2,RSO_Type1,5259.82
FDH10,,Low,0.049066248,CBERS,262.4478,OUT027,2008,MEO,Stealth_4,RSO_Type3,8912.3988
NCM05,6.825,Low,0.059940022,Dove,212.4226,OUT049,1999,MEO,Stealth_1,RSO_Type1,3964.839
FDL20,17.1,Low,0.128937661,EnviSAT,262.3886,OUT018,2009,MEO,Stealth_4,RSO_Type2,1779.0176
FDG32,,Low,0.17514326,EnviSAT,262.3772,OUT027,2008,MEO,Stealth_4,RSO_Type3,9562.2196
FDJ41,6.85,Low,0.022878953,PROBA,262.3594,OUT035,2004,LEO,Stealth_3,RSO_Type1,3924.891
FDR59,14.5,Regular,0.063863551,Quickbird,202.3594,OUT046,1997,LEO,Stealth_1,RSO_Type1,4448.2098
FDL58,5.78,Regular,0.124110349,CBERS,202.3568,OUT010,1998,,Stealth_1,RSO_Type4,2790.9704
NCQ29,12,Low,0,Dove,222.3278,OUT017,2007,,Stealth_2,RSO_Type1,1561.9668
DRD12,6.96,High,0.077508015,Sentinel,262.3146,OUT018,2009,MEO,Stealth_4,RSO_Type2,1094.5752
FDY02,8.945,Regular,0.146701312,Landsat,242.291,OUT010,2007,,Stealth_2,RSO_Type4,1314.955
NCB31,,Low,0.207783483,Corona,162.291,OUT019,1985,LEO,Stealth_0,RSO_Type4,2525.982
FDL58,5.78,Regular,0.074149074,CBERS,232.2568,OUT046,2007,GEO,Stealth_2,RSO_Type1,5273.136
FDB15,10.895,Low,0.137584599,Landsat,202.2568,OUT017,2007,,Stealth_1,RSO_Type1,3954.852
FDO09,13.5,Regular,0.125528734,CBERS,262.191,OUT045,2002,,Stealth_3,RSO_Type1,6048.793
FDO09,13.5,Regular,0.125274674,CBERS,202.191,OUT046,1997,LEO,Stealth_1,RSO_Type1,2366.919
FDS26,20.35,Low,0.089608321,Landsat,202.1594,OUT049,1999,MEO,Stealth_1,RSO_Type1,3139.9128
FDU12,15.5,Regular,0.126791761,EO-1,232.1568,OUT010,2007,,Stealth_2,RSO_Type4,527.3136
FDT16,9.895,Regular,0.048738014,PROBA,202.1278,OUT049,1999,MEO,Stealth_1,RSO_Type1,3904.917
FDS56,5.785,Regular,0.064871045,EnviSAT,202.1252,OUT010,1998,,Stealth_1,RSO_Type4,2786.9756
FDZ46,7.485,Low,0.069405301,CBERS,262.1228,OUT018,2009,MEO,Stealth_4,RSO_Type2,1105.228
FDK40,7.035,Low,0.021849398,PROBA,202.091,OUT046,1997,LEO,Stealth_1,RSO_Type1,4207.856
FDJ41,6.85,Low,0.023012718,PROBA,202.0594,OUT017,2007,,Stealth_1,RSO_Type1,1569.9564
DRI01,7.97,Low,0,Sentinel,262.0422,OUT018,2009,MEO,Stealth_4,RSO_Type2,5690.5926
FDS56,5.785,Regular,0.038749536,EnviSAT,202.0252,OUT035,2004,LEO,Stealth_1,RSO_Type1,4459.5284
FDU11,4.785,Low,0.09297084,Quickbird,262.0098,OUT018,2009,MEO,Stealth_4,RSO_Type2,2048.6666
NCB31,6.235,Low,0.119345629,Corona,201.991,OUT017,2007,,Stealth_1,RSO_Type1,2366.919
FDG47,12.8,Low,0.069605676,RapidEye,261.9252,OUT035,2004,GEO,Stealth_2,RSO_Type1,4984.1788
FDN22,18.85,Regular,0.138868769,CBERS,261.8724,OUT018,2009,MEO,Stealth_4,RSO_Type2,3271.7412
NCG18,15.3,Low,0.023071504,Corona,261.8332,OUT018,2009,MEO,Stealth_4,RSO_Type2,1025.332
FDT03,21.25,Low,0.010039493,Terra,261.7608,OUT018,2009,MEO,Stealth_4,RSO_Type2,1102.5648
NCL06,14.65,Low,0.120624771,Corona,211.7594,OUT010,1998,,Stealth_1,RSO_Type4,1523.3188
FDU12,15.5,Regular,0.075868843,EO-1,211.7568,OUT049,1999,MEO,Stealth_1,RSO_Type1,1845.5976
FDT16,9.895,Regular,0.048662357,PROBA,211.7278,OUT046,1997,LEO,Stealth_1,RSO_Type1,4685.9004
FDF05,17.5,Low,0.026865809,PROBA,211.691,OUT035,2004,LEO,Stealth_1,RSO_Type1,4207.856
NCB31,6.235,Low,0.118674359,Corona,211.691,OUT046,1997,LEO,Stealth_1,RSO_Type1,3155.892
FDS26,20.35,Low,0.089975294,Landsat,261.6594,OUT017,2007,,Stealth_3,RSO_Type1,7588.1226
FDJ41,6.85,Low,0.022976497,PROBA,211.6594,OUT018,2009,MEO,Stealth_1,RSO_Type2,3401.5722
FDN51,17.85,Medium,0.021065311,Terra,261.5936,OUT017,2007,,Stealth_3,RSO_Type1,6002.8528
DRF37,17.25,Low,0.084262458,Sentinel,261.591,OUT013,2004,GEO,Stealth_2,RSO_Type1,3418.883
FDF39,14.85,Regular,0.019590769,Landsat,211.591,OUT018,2009,MEO,Stealth_1,RSO_Type2,2366.919
NCS06,7.935,Low,0.031801103,Corona,211.591,OUT045,2002,,Stealth_1,RSO_Type1,3155.892
FDR28,13.85,Medium,0.026001976,PROBA,261.521,OUT018,2009,MEO,Stealth_4,RSO_Type2,1794.331
FDO09,13.5,Regular,0.125170423,CBERS,211.491,OUT013,1987,GEO,Stealth_1,RSO_Type1,3418.883
DRM11,6.57,Low,0.066338717,SPOT,211.4278,OUT018,2009,MEO,Stealth_1,RSO_Type2,4165.2448
FDG47,12.8,Low,0.116527666,RapidEye,211.4252,OUT010,1998,,Stealth_1,RSO_Type4,1262.3252
FDY02,8.945,Regular,0.088002959,Landsat,211.391,OUT018,2009,MEO,Stealth_1,RSO_Type2,1840.937
NCJ30,5.82,Low,0.080968973,Corona,261.379,OUT018,2009,MEO,Stealth_4,RSO_Type2,2037.348
FDG47,12.8,Low,0.069902438,RapidEye,261.3252,OUT018,2009,MEO,Stealth_2,RSO_Type2,3410.2276
FDP28,13.65,Regular,0.081096613,PROBA,211.2936,OUT017,2007,,Stealth_1,RSO_Type1,3131.9232
FDF39,14.85,Regular,0.019495051,Landsat,261.291,OUT013,2008,GEO,Stealth_4,RSO_Type1,10256.649
FDF05,,Low,0.026740767,PROBA,221.291,OUT027,2009,MEO,Stealth_2,RSO_Type3,5522.811
NCS06,7.935,Low,0.031866022,Corona,211.291,OUT018,2009,MEO,Stealth_1,RSO_Type2,2892.901
FDF05,17.5,Low,0.026912667,PROBA,211.291,OUT049,1999,MEO,Stealth_1,RSO_Type1,3418.883
DRF37,,Low,0,Sentinel,161.291,OUT019,1985,LEO,Stealth_0,RSO_Type4,3788.973
