RSO_Identifier,RSO_Weight,RSO_Density,RSO_Visibility,RSO_MRP,Orbit_Establishment_Year,Orbit_Height,Stealth_Type,RSO_Type,Survivability
FDR59,14.5,2,0.063810405,203.2594,2009,3,5,1,2878.2534
FDV49,10,1,0.025827199,263.2226,1997,1,2,1,3700.5164
FDY03,17.6,2,0.076431919,263.2202,2009,2,5,2,2025.3636
DRF37,17.25,1,0.084676173,263.191,2009,3,4,2,3944.865
FDK40,12.86551923,1,0.021743592,263.191,2009,3,4,3,6574.775
FDS13,6.465,1,0.0660448,263.1884,2009,2,5,2,2914.8724
FDI15,12.86644123,1,0.24749009,163.1884,1985,1,1,4,2529.9768
FDR59,14.5,2,0.063962842,203.1594,1999,2,2,1,2616.594
NCS06,7.935,1,0.031710329,223.091,2004,3,3,1,5522.811
FDB15,10.895,1,0.136810742,213.0568,1997,1,2,1,2527.3136
FDZ20,12.86720061,1,0.066026906,263.0356,2007,2,5,3,11445.102
FDG47,12.8,1,0.069560905,213.0252,2004,3,3,1,2885.5772
FDY14,10.3,1,0.069981909,263.0226,2007,3,4,1,6079.4198
FDY14,10.3,1,0.070040195,203.0226,1997,1,2,1,4229.1616
NCL06,14.65,1,0.072178679,222.9594,2004,2,3,1,5233.188
FDU12,15.5,2,0.075688032,202.9568,1987,3,2,1,1845.5976
FDP28,13.65,2,0.080765853,222.8936,2004,2,3,1,4958.8784
NCB31,12.86720107,1,0.118099673,222.891,2004,2,3,3,5522.811
FDO09,12.86720107,2,0.066023545,162.891,1985,1,1,4,3788.973
FDU12,15.5,2,0.07575107,222.8568,2004,3,3,1,5800.4496
FDG47,12.8,1,0.070012633,212.8252,2007,1,2,1,2885.5772
FDK40,7.035,1,0.02189371,222.791,2002,1,3,1,3681.874
FDR59,14.5,2,0.064224789,262.7594,2007,1,4,1,7064.8038
FDU12,12.86743686,2,0.075384242,262.7568,2007,3,4,3,7646.0472
FDV49,10,1,0.025822315,212.7226,2004,1,2,1,3171.8712
NCM05,6.825,1,0.100171568,212.7226,1998,1,2,4,2264.3226
FDP28,13.65,2,0.080640478,212.6936,1997,1,2,1,4175.8976
FDK40,7.035,1,0.066033161,262.691,2008,3,5,1,6048.793
FDS56,5.785,2,0.038817121,222.6252,2002,2,3,1,2524.6504
FDV49,12.87047588,1,0.025702129,262.6226,2007,3,4,3,7136.7102
FDF05,17.5,1,0.026980351,262.591,2009,3,4,2,4207.856
FDF39,14.85,2,0.019511288,222.591,2002,1,3,1,4996.829
NCM05,6.825,1,0.059846975,262.5226,2005,3,4,1,9779.9362
FDF05,17.5,1,0.027022883,222.491,2007,1,3,1,5259.82
FDH10,12.86972543,1,0.049066248,262.4478,2008,2,5,3,8912.3988
NCM05,6.825,1,0.059940022,212.4226,1999,2,2,1,3964.839
FDL20,17.1,1,0.128937661,262.3886,2009,2,5,2,1779.0176
FDG32,12.86998771,1,0.17514326,262.3772,2008,2,5,3,9562.2196
FDJ41,6.85,1,0.022878953,262.3594,2004,1,4,1,3924.891
FDR59,14.5,2,0.063863551,202.3594,1997,1,2,1,4448.2098
FDL58,5.78,2,0.124110349,202.3568,1998,1,2,4,2790.9704
NCQ29,12,1,0.066045472,222.3278,2007,1,3,1,1561.9668
DRD12,6.96,3,0.077508015,262.3146,2009,2,5,2,1094.5752
FDY02,8.945,2,0.146701312,242.291,2007,1,3,4,1314.955
NCB31,12.87319734,1,0.207783483,162.291,1985,1,1,4,2525.982
FDL58,5.78,2,0.074149074,232.2568,2007,3,3,1,5273.136
FDB15,10.895,1,0.137584599,202.2568,2007,1,2,1,3954.852
FDO09,13.5,2,0.125528734,262.191,2002,1,4,1,6048.793
FDO09,13.5,2,0.125274674,202.191,1997,1,2,1,2366.919
FDS26,20.35,1,0.089608321,202.1594,1999,2,2,1,3139.9128
FDU12,15.5,2,0.126791761,232.1568,2007,1,3,4,527.3136
FDT16,9.895,2,0.048738014,202.1278,1999,2,2,1,3904.917
FDS56,5.785,2,0.064871045,202.1252,1998,1,2,4,2786.9756
FDZ46,7.485,1,0.069405301,262.1228,2009,2,5,2,1105.228
FDK40,7.035,1,0.021849398,202.091,1997,1,2,1,4207.856
FDJ41,6.85,1,0.023012718,202.0594,2007,1,2,1,1569.9564
DRI01,7.97,1,0.066003645,262.0422,2009,2,5,2,5690.5926
FDS56,5.785,2,0.038749536,202.0252,2004,1,2,1,4459.5284
FDU11,4.785,1,0.09297084,262.0098,2009,2,5,2,2048.6666
NCB31,6.235,1,0.119345629,201.991,2007,1,2,1,2366.919
FDG47,12.8,1,0.069605676,261.9252,2004,3,3,1,4984.1788
FDN22,18.85,2,0.138868769,261.8724,2009,2,5,2,3271.7412
NCG18,15.3,1,0.023071504,261.8332,2009,2,5,2,1025.332
FDT03,21.25,1,0.010039493,261.7608,2009,2,5,2,1102.5648
NCL06,14.65,1,0.120624771,211.7594,1998,1,2,4,1523.3188
FDU12,15.5,2,0.075868843,211.7568,1999,2,2,1,1845.5976
FDT16,9.895,2,0.048662357,211.7278,1997,1,2,1,4685.9004
FDF05,17.5,1,0.026865809,211.691,2004,1,2,1,4207.856
NCB31,6.235,1,0.118674359,211.691,1997,1,2,1,3155.892
FDS26,20.35,1,0.089975294,261.6594,2007,1,4,1,7588.1226
FDJ41,6.85,1,0.022976497,211.6594,2009,2,2,2,3401.5722
FDN51,17.85,3,0.021065311,261.5936,2007,1,4,1,6002.8528
DRF37,17.25,1,0.084262458,261.591,2004,3,3,1,3418.883
FDF39,14.85,2,0.019590769,211.591,2009,2,2,2,2366.919
NCS06,7.935,1,0.031801103,211.591,2002,1,2,1,3155.892
FDR28,13.85,3,0.026001976,261.521,2009,2,5,2,1794.331
FDO09,13.5,2,0.125170423,211.491,1987,3,2,1,3418.883
DRM11,6.57,1,0.066338717,211.4278,2009,2,2,2,4165.2448
FDG47,12.8,1,0.116527666,211.4252,1998,1,2,4,1262.3252
FDY02,8.945,2,0.088002959,211.391,2009,2,2,2,1840.937
NCJ30,5.82,1,0.080968973,261.379,2009,2,5,2,2037.348
FDG47,12.8,1,0.069902438,261.3252,2009,2,3,2,3410.2276
FDP28,13.65,2,0.081096613,211.2936,2007,1,2,1,3131.9232
FDF39,14.85,2,0.019495051,261.291,2008,3,5,1,10256.649
FDF05,12.87914157,1,0.026740767,221.291,2009,2,3,3,5522.811
NCS06,7.935,1,0.031866022,211.291,2009,2,2,2,2892.901
FDF05,17.5,1,0.026912667,211.291,1999,2,2,1,3418.883
DRF37,12.87918862,1,0.066019813,161.291,1985,1,1,4,3788.973
FDJ41,6.85,1,0.03830192,211.2594,1998,1,2,4,1046.6376
FDJ41,6.85,3,0.02288328,211.2594,1997,1,2,1,2878.2534
FDP28,13.65,2,0.080804019,211.1936,2002,1,2,1,2348.9424
DRF37,17.25,1,0.084809658,211.191,2007,1,2,1,3155.892
FDO09,12.88019586,2,0.124668026,221.091,2009,2,3,3,5522.811
NCS06,7.935,1,0.031730739,201.091,2004,1,2,1,2366.919
FDY02,8.945,2,0.087823675,201.091,2002,1,2,1,3418.883
DRM11,6.57,1,0.066069578,201.0278,1997,1,2,1,4165.2448
FDN58,12.88240895,2,0.056596985,260.9984,2008,2,5,3,9267.936
NCS06,12.88240895,1,0.031583053,260.991,2005,2,4,3,7100.757
NCL06,14.65,1,0.072212787,200.9594,2002,1,2,1,2878.2534
FDO48,15,2,0.026950104,260.9456,2009,2,5,2,1768.3648
NCO17,10,1,0.073678663,260.944,2009,2,5,2,2037.348
FDF40,12.88226279,2,0.022403117,260.9092,2009,2,5,3,8217.3036
FDA04,11.3,2,0.066717378,260.8962,2004,1,4,1,4920.9278
NCF06,6.235,1,0.020229757,220.8962,2009,2,3,1,5956.9126
FDN51,17.85,2,0.020989308,210.7936,2002,1,2,1,4697.8848
FDK09,12.88273841,1,0.091318935,260.7352,2008,2,5,3,8474.3024
FDS56,5.785,2,0.038756864,260.7252,2005,1,4,1,6033.4796
DRF36,12.88377352,1,0.023463124,260.6846,2008,2,5,3,9554.23
FDU55,12.88377352,1,0.035737373,260.6278,2008,2,5,3,9371.8008
FDU55,16.2,1,0.035984104,210.6278,2002,1,2,1,4425.5726
FDX34,6.195,1,0.072278769,260.6098,2009,2,5,2,1807.647
FDR09,18.25,1,0.07784544,210.5962,1999,2,2,1,3884.943
FDS26,12.88348264,1,0.089035961,260.5594,2008,2,5,3,9158.079
FDT16,9.895,2,0.048761046,260.5278,2002,1,4,1,8851.1452
FDR52,12.88391872,2,0.075676339,260.4846,2008,2,5,3,8789.8916
FDR59,14.5,2,0.063993068,220.4594,2002,1,3,1,5494.8474
FDR59,14.5,2,0.063851475,210.4594,2004,1,2,1,3139.9128
FDR59,14.5,2,0.106894492,210.4594,1998,1,2,4,1046.6376
FDC02,21.35,1,0.068765205,210.4278,1987,3,2,1,3644.5892
FDD36,13.3,1,0.02136022,260.4124,2009,2,5,2,1777.686
FDB08,6.055,1,0.031230059,260.3578,2009,2,5,2,1765.0358
FDL57,15.1,2,0.067020992,210.3304,2002,3,3,1,5424.9384
FDU55,16.2,1,0.035967107,260.3278,2006,2,4,1,7549.5062
FDU55,16.2,1,0.036057562,210.3278,2009,2,2,2,2342.9502
FDG47,12.8,1,0.06961884,260.3252,2006,2,4,1,8132.0812
FDR09,18.25,1,0.077659918,160.2962,1987,3,1,1,1035.9848
FDN51,17.85,2,0.020942867,210.2936,2004,1,2,1,4175.8976
FDW19,12.35,2,0.038657256,260.257,2009,2,5,2,1757.712
NCU42,9,1,0.019586115,260.2474,2009,2,5,2,4211.185
FDL57,15.1,2,0.067212845,200.2304,2002,1,2,1,4908.2776
FDT16,9.895,2,0.048860587,260.2278,2009,2,5,2,4165.2448
FDA04,11.3,2,0.066865326,210.1962,2002,1,2,1,2848.9582
FDP28,13.65,2,0.080573371,260.1936,2004,3,4,1,3914.904
FDS26,20.35,1,0.089394766,210.1594,1987,3,2,1,2093.2752
FDT43,16.35,1,0.020631654,260.1324,2009,2,5,2,467.3916
FDP28,13.65,2,0.134975628,210.0936,1998,1,2,4,2260.9936
FDR35,12.87928059,1,0.020597493,260.0742,2008,2,5,3,8958.339
FDJ41,6.85,1,0.022864238,260.0594,2004,3,4,1,6018.1662
FDC02,21.35,1,0.069102831,259.9278,2009,3,4,2,6768.5228
FDR09,12.87892313,1,0.077348214,259.7962,2005,3,4,3,8028.8822
FDA04,12.87892313,2,0.066406853,229.7962,2002,2,3,3,5697.9164
FDP28,13.65,2,0.080968973,219.7936,2009,2,2,2,2609.936
FDS26,20.35,1,0.149753132,219.7594,1998,1,2,4,1784.9782
DRM11,6.57,1,0.066014596,219.7278,1987,3,2,1,2863.6058
FDR09,18.25,1,0.077709902,259.6962,2004,1,3,1,5438.9202
FDP28,13.65,2,0.08062523,259.6936,2004,1,3,1,2087.9488
NCW30,5.21,1,0.011007815,259.5962,2004,1,3,1,2848.9582
NCQ29,12,1,0.104230135,219.5278,1997,1,2,1,2603.278
FDM21,20.2,1,0.064351908,219.4646,2004,1,2,1,2061.3168
FDC02,12.87791923,1,0.068489201,219.3278,1985,2,2,3,4165.2448
FDK28,5.695,1,0.065960909,229.2646,2007,2,3,1,9275.9256
FDM21,20.2,1,0.06449461,219.2646,2002,1,2,1,3091.9752
FDF04,17.5,1,0.013714183,219.2304,2007,1,2,1,2841.6344
FDV33,9.6,2,0.027386122,229.2304,1999,2,2,1,4649.9472
FDA04,11.3,3,0.067001825,229.1962,2009,2,3,2,5438.9202
FDA04,11.3,2,0.066674465,229.1962,2009,3,3,1,5179.924
FDD44,8.05,2,0.078400465,219.0646,1997,1,2,1,4380.2982
NCF06,6.235,1,0.033807904,218.9962,1998,1,2,4,1258.9962
FDQ11,5.695,2,0.067688124,228.8988,2004,1,3,1,5396.9748
FDQ11,12.88090269,2,0.067373081,218.8988,1985,2,2,3,3083.9856
FDL57,15.1,2,0.067181098,228.8304,2004,2,3,1,5424.9384
NCQ29,12.88057692,1,0.182493512,218.8278,1985,1,2,4,1041.3112
FDT16,12.88057692,2,0.048426708,228.7278,2004,2,3,3,5466.8838
FDF04,12.88057692,1,0.023876708,188.6304,1985,1,1,4,1516.6608
FDK28,5.695,1,0.065857092,208.5646,2009,2,2,2,4380.2982
FDF04,17.5,1,0.013637046,258.5304,2006,1,4,1,6199.9296
FDC02,21.35,1,0.068809463,228.5278,2004,1,3,1,5206.556
FDY55,16.75,1,0.081304829,218.4988,2004,1,2,1,4111.9808
FDR09,18.25,1,0.078041216,218.4962,2009,2,2,2,2848.9582
FDK46,9.6,1,0.051571772,218.462,2002,1,2,1,4673.916
FDY55,12.87883412,3,0.066085478,158.3988,1985,1,1,4,256.9988
FDK46,9.6,1,0.086145867,218.362,1998,1,2,4,259.662
FDV33,9.6,2,0.027399064,218.3304,2002,1,2,1,4133.2864
FDF04,17.5,1,0.066095801,218.3304,1987,3,2,1,3358.2952
FDC02,21.35,1,0.068822477,258.3278,2006,2,4,1,7028.8506
FDC02,21.35,1,0.115194717,218.3278,1998,1,2,4,520.6556
FDK28,5.695,1,0.065589906,228.2646,2004,1,3,1,5410.9566
FDA04,11.3,2,0.067107448,218.1962,2007,1,2,1,4402.9354
FDV33,9.6,2,0.027454997,218.1304,2009,2,2,2,2324.9736
FDY55,16.75,1,0.081485126,258.0988,2002,1,4,1,8994.958
FDR09,18.25,1,0.077882226,218.0962,2002,1,2,1,1035.9848
FDM21,20.2,1,0.064728148,228.0646,2007,1,3,1,5668.6212
FDK46,9.6,1,0.051677051,228.062,2009,1,3,2,2856.282
NCF06,6.235,1,0.020198354,217.9962,1997,1,2,1,517.9924
FDL57,15.1,2,0.067064128,227.9304,2004,2,3,1,6458.26
NCW30,5.21,1,0.011072173,217.8962,2007,1,2,1,4402.9354
FDG26,18.85,1,0.042641788,227.833,2004,3,3,1,5382.993
FDG26,18.85,1,0.042716162,217.833,1999,2,2,1,3332.329
FDV33,9.6,2,0.02734361,217.8304,1997,1,2,1,1808.3128
FDF04,17.5,1,0.013664703,227.7304,2002,3,3,1,5683.2688
FDL57,12.87626418,2,0.117442838,157.7304,1985,1,1,4,774.9912
NCG06,16.35,1,0.029445361,217.6646,1997,1,2,1,2061.3168
FDG26,18.85,1,0.042891098,227.633,2007,3,3,1,5382.993
FDT07,5.82,2,0.077254736,227.633,2007,1,3,1,1537.998
FDT07,5.82,2,0.077304459,217.633,2004,1,2,1,4613.994
FDD44,8.05,2,0.066128197,237.5646,2007,3,3,1,5153.292
FDQ11,5.695,2,0.06797671,257.4988,2009,2,4,2,3083.9856
FDP33,18.7,1,0.089197963,227.3672,1987,3,2,1,2045.3376
FDL57,15.1,2,0.067350054,237.3304,2009,2,3,2,3874.956
FDA04,11.3,2,0.066729996,257.2962,2006,1,4,1,4920.9278
FDA04,11.3,2,0.066833743,227.2962,1999,2,2,1,2330.9658
FDR09,18.25,1,0.130095044,217.2962,1998,1,2,4,517.9924
FDA27,20.35,2,0.031102571,217.2672,2007,1,2,1,2045.3376
FDB52,17.75,1,0.03048292,217.2672,1999,2,2,1,3068.0064
FDD44,8.05,2,0.078522357,257.1646,2006,2,4,1,6183.9504
FDT07,12.87609922,2,0.076944658,257.133,2006,2,4,3,7433.657
FDY55,16.75,1,0.081446638,257.0988,2005,2,4,1,6424.97
FDD44,8.05,2,0.07884393,257.0646,2007,1,4,1,8760.5964
FDB52,17.75,1,0.030497325,216.9672,2002,1,2,1,1534.0032
NCG06,16.35,1,0.029420857,216.9646,1987,3,2,1,4637.9628
FDA27,20.35,2,0.030927632,216.8672,1997,1,2,1,3579.3408
FDA27,20.35,2,0.066140645,256.7672,2009,2,4,2,5624.6784
FDB52,12.8727974,1,0.030288215,236.7672,2009,2,3,3,4346.3424
NCQ06,13,1,0.041824524,216.7014,1997,1,2,1,2805.0154
FDP33,18.7,1,0.066156115,236.6672,2009,2,3,2,3068.0064
FDT07,5.82,3,0.066164218,216.633,1999,2,2,1,2050.664
FDQ11,5.695,2,0.067700925,216.5988,1997,1,2,1,2055.9904
NCT05,10.895,1,0.020934413,216.5672,1987,3,2,1,4090.6752
FDY55,16.75,1,0.081252534,256.4988,2005,3,4,1,7452.9652
FDP33,18.7,3,0.089777214,236.4672,2007,2,3,1,5369.0112
NCG06,16.35,1,0.029565309,236.4646,2009,2,3,2,515.3292
FDD44,8.05,2,0.07838564,236.4646,2004,1,3,1,5153.292
FDF04,17.5,1,0.013634468,216.4304,2004,1,2,1,1808.3128
FDQ11,12.87239307,2,0.118535581,196.3988,1985,1,1,4,256.9988
FDA27,20.35,2,0.030990354,216.3672,2002,1,2,1,1022.6688
FDP33,12.87128626,1,0.156304192,196.3672,1985,1,1,4,255.6672
FDF04,17.5,3,0.013658248,256.3304,2004,3,4,1,6199.9296
FDT37,14.15,1,0.03546967,216.3014,2007,1,2,1,4845.0266
FDM21,12.87041161,1,0.064052392,256.1646,2004,3,4,3,7472.2734
NCG06,12.87041161,1,0.02930277,236.1646,2004,2,3,3,5926.2858
FDK28,12.87041161,1,0.065272284,236.1646,2004,2,3,3,3349.6398
FDZ20,16.1,1,0.034376537,256.1356,2002,1,4,1,6358.39
FDK03,12.6,2,0.074035365,216.1356,1999,2,2,1,4578.0408
