person,tot,time,role,dialogue
OBAMA,5.5,time 1,candidate,"And so you've got higher administrative costs, plus profit on top of that."
OBAMA,5.6,time 1,candidate,"And if you are going to save any money through what Governor Romney's proposing, what has to happen is, is that the money has to come from somewhere."
OBAMA,5.7,time 1,candidate,"And when you move to a voucher system, you are putting seniors at the mercy of those insurance companies."
OBAMA,5.8,time 1,candidate,"And over time, if traditional Medicare has decayed or fallen apart, then they're stuck."
OBAMA,5.9,time 1,candidate,And this is the reason why AARP has said that your plan would weaken Medicare substantially.
OBAMA,7.1,time 1,candidate,but but but overall.
OBAMA,7.1,time 2,candidate,"Jeremy, first of all, your future is bright."
OBAMA,7.1,time 2,candidate,Now when Governor Romney said we should let Detroit go bankrupt.
OBAMA,7.1,time 3,candidate,"Governor Romney, I'm glad that you recognize that Al Qaida is a threat, because a few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia, not Al Qaida; you said Russia, in the one thousand nine hundred eightys, they're now calling to ask for their foreign policy back because, you know, the Cold War's been over for twenty years."
OBAMA,7.1,time 3,candidate,Then you said we should.
OBAMA,7.11,time 2,candidate,I said we're going to bet on American workers and the American auto industry and it's come surging back.
OBAMA,7.11,time 3,candidate,"Now you say maybe or it depends, which means not only were you wrong, but you were also confusing in sending mixed messages both to our troops and our allies."
OBAMA,7.12,time 2,candidate,"I want to do that in industries, not just in Detroit, but all across the country and that means we change our tax code so we're giving incentives to companies that are investing here in the United States and creating jobs here."
OBAMA,7.12,time 3,candidate,"So, what what we need to do with respect to the Middle East is strong, steady leadership, not wrong and reckless leadership that is all over the map."
OBAMA,7.13,time 2,candidate,It also means we're helping them and small businesses to export all around the world to new markets.
OBAMA,7.13,time 3,candidate,"And unfortunately, that's the kind of opinions that you've offered throughout this campaign, and it is not a recipe for American strength, or keeping America safe over the long haul."
OBAMA,7.14,time 2,candidate,"Number two, we've got to make sure that we have the best education system in the world."
OBAMA,7.15,time 2,candidate,"And the fact that you're going to college is great, but I want everybody to get a great education and we've worked hard to make sure that student loans are available for folks like you, but I also want to make sure that community colleges are offering slots for workers to get retrained for the jobs that are out there right now and the jobs of the future."
OBAMA,7.16,time 2,candidate,"Number three, we've got to control our own energy."
OBAMA,7.17,time 2,candidate,"Now, not only oil and natural gas, which we've been investing in; but also, we've got to make sure we're building the energy source of the future, not just thinking about next year, but ten years from now, twenty years from now."
OBAMA,7.18,time 2,candidate,"That's why we've invested in solar and wind and biofuels, energy efficient cars."
OBAMA,7.19,time 2,candidate,"We've got to reduce our deficit, but we've got to do it in a balanced way."
OBAMA,7.2,time 2,candidate,And the fact that you're making an investment in higher education is critical.
OBAMA,7.2,time 2,candidate,Asking the wealthy to pay a little bit more along with cuts so that we can invest in education like yours.
OBAMA,7.2,time 3,candidate,"But Governor, when it comes to our foreign policy, you seem to want to import the foreign policies of the one thousand nine hundred eightys, just like the social policies of the one thousand nine hundred fiftys and the economic policies of the one thousand nine hundred twentys."
OBAMA,7.21,time 2,candidate,"And let's take the money that we've been spending on war over the last decade to rebuild America, roads, bridges schools."
OBAMA,7.22,time 2,candidate,"We do those things, not only is your future going to be bright but America's future is going to bright as well."
OBAMA,7.3,time 2,candidate,"Not just to you, but to the entire nation."
OBAMA,7.3,time 3,candidate,You say that you're not interested in duplicating what happened in Iraq.
OBAMA,7.4,time 2,candidate,"Now, the most important thing we can do is to make sure that we are creating jobs in this country."
OBAMA,7.4,time 3,candidate,"But just a few weeks ago, you said you think we should have more troops in Iraq right now."
OBAMA,7.5,time 2,candidate,"But not just jobs, good paying jobs."
OBAMA,7.5,time 3,candidate,"And the the challenge we have I know you haven't been in a position to actually execute foreign policy but every time you've offered an opinion, you've been wrong."
OBAMA,7.6,time 2,candidate,Ones that can support a family.
OBAMA,7.6,time 3,candidate,"You said we should have gone into Iraq, despite that fact that there were no weapons of mass destruction."
OBAMA,7.7,time 2,candidate,"And what I want to do, is build on the five million jobs that we've created over the last thirty months in the private sector alone."
OBAMA,7.7,time 3,candidate,You said that we should still have troops in Iraq to this day.
OBAMA,7.8,time 2,candidate,And there are a bunch of things we can do to make sure your future is bright.
OBAMA,7.8,time 3,candidate,"You indicated that we shouldn't be passing nuclear treaties with Russia despite the fact that seventy one senators, Democrats and Republicans, voted for it."
OBAMA,7.9,time 2,candidate,"Number one, I want to build manufacturing jobs in this country again."
OBAMA,7.9,time 3,candidate,"You said that, first, we should not have a timeline in Afghanistan."
OBAMA,9.1,time 1,candidate,And so|
OBAMA,10.1,time 3,candidate,What I would not have had done was left ten thousand troops in Iraq that would tie us down.
OBAMA,10.2,time 3,candidate,And that certainly would not help us in the Middle East.
OBAMA,11.1,time 1,candidate,Is that a is that a separate topic?
OBAMA,11.1,time 2,candidate,"Candy, what Governor Romney said just isn't true."
OBAMA,11.1,time 2,candidate,"That's been his philosophy in the private sector, that's been his philosophy as governor, that's been his philosophy as a presidential candidate."
OBAMA,11.11,time 2,candidate,You can make a lot of money and pay lower tax rates than somebody who makes a lot less.
OBAMA,11.12,time 2,candidate,You can ship jobs overseas and get tax breaks for it.
OBAMA,11.13,time 2,candidate,"You can invest in a company, bankrupt it, lay off the workers, strip away their pensions, and you still make money."
OBAMA,11.14,time 2,candidate,That's exactly the philosophy that we've seen in place for the last decade.
OBAMA,11.15,time 2,candidate,That's what's been squeezing middle class families.
OBAMA,11.16,time 2,candidate,And we have fought back for four years to get out of that mess.
OBAMA,11.17,time 2,candidate,The last thing we need to do is to go back to the very same policies that got us there.
OBAMA,11.2,time 2,candidate,He wanted to take them into bankruptcy without providing them any way to stay open.
OBAMA,11.3,time 2,candidate,And we would have lost a million jobs.
OBAMA,11.4,time 2,candidate,"And that don't take my word for it, take the executives at GM and Chrysler, some of whom are Republicans, may even support Governor Romney."
OBAMA,11.5,time 2,candidate,But they'll tell you his prescription wasn't going to work.
OBAMA,11.6,time 2,candidate,And Governor Romney's says he's got a five point plan?
OBAMA,11.7,time 2,candidate,Governor Romney doesn't have a five point plan.
OBAMA,11.8,time 2,candidate,He has a one point plan.
OBAMA,11.9,time 2,candidate,And that plan is to make sure that folks at the top play by a different set of rules.
OBAMA,12.1,time 3,candidate,Governor|
OBAMA,13.1,time 1,candidate,I'm sorry.
OBAMA,14.1,time 3,candidate,Governor?
OBAMA,16.1,time 3,candidate,This was just a few weeks ago that you indicated that we should still have troops in Iraq.
OBAMA,18.1,time 3,candidate,You you|
OBAMA,20.1,time 2,candidate,The most important thing we can do is to make sure we control our own energy.
OBAMA,20.1,time 2,candidate,That's why we doubled clean clean energy production like wind and solar and biofuels.
OBAMA,20.1,time 3,candidate,major speech.
OBAMA,20.11,time 2,candidate,And all these things have contributed to us lowering our oil imports to the lowest levels in sixteen years.
OBAMA,20.12,time 2,candidate,"Now, I want to build on that."
OBAMA,20.13,time 2,candidate,"And that means, yes, we still continue to open up new areas for drilling."
OBAMA,20.14,time 2,candidate,We continue to make it a priority for us to go after natural gas.
OBAMA,20.15,time 2,candidate,We've got potentially six hundred thousand jobs and one hundred years worth of energy right beneath our feet with natural gas.
OBAMA,20.16,time 2,candidate,And we can do it in an environmentally sound way.
OBAMA,20.17,time 2,candidate,"But we've also got to continue to figure out how we have efficiency energy, because ultimately that's how we're going to reduce demand and that's what's going to keep gas prices lower."
OBAMA,20.18,time 2,candidate,"Now, Governor Romney will say he's got an all of the above plan, but basically his plan is to let the oil companies write the energy policies."
OBAMA,20.19,time 2,candidate,"So he's got the oil and gas part, but he doesn't have the clean energy part."
OBAMA,20.2,time 2,candidate,So here's what I've done since I've been president.
OBAMA,20.2,time 2,candidate,"And if we are only thinking about tomorrow or the next day and not thinking about ten years from now, we're not going to control our own economic future."
OBAMA,20.21,time 2,candidate,"Because China, Germany, they're making these investments."
OBAMA,20.22,time 2,candidate,And I'm not going to cede those jobs of the future to those countries.
OBAMA,20.23,time 2,candidate,I expect those new energy sources to be built right here in the United States.
OBAMA,20.24,time 2,candidate,That's going to help Jeremy get a job.
OBAMA,20.25,time 2,candidate,It's also going to make sure that you're not paying as much for gas.
OBAMA,20.3,time 2,candidate,We have increased oil production to the highest levels in sixteen years.
OBAMA,20.4,time 2,candidate,Natural gas production is the highest it's been in decades.
OBAMA,20.5,time 2,candidate,We have seen increases in coal production and coal employment.
OBAMA,20.6,time 2,candidate,But what I've also said is we can't just produce traditional source of energy.
OBAMA,20.7,time 2,candidate,We've also got to look to the future.
OBAMA,20.8,time 2,candidate,That's why we doubled fuel efficiency standards on cars.
OBAMA,20.9,time 2,candidate,"That means that in the middle of the next decade, any car you buy, you're going to end up going twice as far on a gallon of gas."
OBAMA,22.1,time 3,candidate,Governor?
OBAMA,24.1,time 2,candidate,"Candy, there's no doubt that world demand's gone up, but our production is going up, and we're using oil more efficiently."
OBAMA,24.1,time 2,candidate,"With respect to something like coal, we made the largest investment in clean coal technology, to make sure that even as we're producing more coal, we're producing it cleaner and smarter."
OBAMA,24.1,time 3,candidate,Governor here here's here's one thing|
OBAMA,24.11,time 2,candidate,"Same thing with oil, same thing with natural gas."
OBAMA,24.12,time 2,candidate,And the proof is our oil imports are down to the lowest levels in twenty years.
OBAMA,24.13,time 2,candidate,"Oil production is up, natural gas production is up, and, most importantly, we're also starting to build cars that are more efficient."
OBAMA,24.14,time 2,candidate,And that's creating jobs.
OBAMA,24.15,time 2,candidate,"That means those cars can be exported, 'cause that's the demand around the world, and it also means that it'll save money in your pocketbook."
OBAMA,24.16,time 2,candidate,"That's the strategy you need, an all of the above strategy, and that's what we're going to do in the next four years."
OBAMA,24.2,time 2,candidate,And very little of what Governor Romney just said is true.
OBAMA,24.2,time 3,candidate,here's one thing I've learned as commander in chief.
OBAMA,24.3,time 2,candidate,We've opened up public lands.
OBAMA,24.4,time 2,candidate,We're actually drilling more on public lands than in the previous administration and my the previous president was an oil man.
OBAMA,24.5,time 2,candidate,And natural gas isn't just appearing magically.
OBAMA,24.6,time 2,candidate,We're encouraging it and working with the industry.
OBAMA,24.7,time 2,candidate,"And when I hear Governor Romney say he's a big coal guy, I mean, keep in mind, when Governor, when you were governor of Massachusetts, you stood in front of a coal plant and pointed at it and said, This plant kills, and took great pride in shutting it down."
OBAMA,24.8,time 2,candidate,And now suddenly you're a big champion of coal.
OBAMA,24.9,time 2,candidate,So what I've tried to do is be consistent.
OBAMA,26.1,time 1,candidate,Absolutely.
OBAMA,26.1,time 2,candidate,"Not true, Governor Romney."
OBAMA,26.1,time 3,candidate,"You've got to be clear, both to our allies and our enemies, about where you stand and what you mean."
OBAMA,26.1,time 3,candidate,Part of American leadership is making sure that we're doing nation building here at home.
OBAMA,26.11,time 3,candidate,That will help us maintain the kind of American leadership that we need.
OBAMA,26.2,time 3,candidate,You just gave a speech a few weeks ago in which you said we should still have troops in Iraq.
OBAMA,26.3,time 3,candidate,That is not a recipe for making sure that we are taking advantage of the opportunities and meeting the challenges of the Middle East.
OBAMA,26.4,time 3,candidate,"Now, it is absolutely true that we cannot just meet these challenges militarily."
OBAMA,26.5,time 3,candidate,"And so what I've done throughout my presidency and will continue to do is, number one, make sure that these countries are supporting our counterterrorism efforts."
OBAMA,26.6,time 3,candidate,"Number two, make sure that they are standing by our interests in Israel's security, because it is a true friend and our greatest ally in the region."
OBAMA,26.7,time 3,candidate,"Number three, we do have to make sure that we're protecting religious minorities and women because these countries can't develop unless all the population, not just half of it, is developing."
OBAMA,26.8,time 3,candidate,"Number four, we do have to develop their economic their economic capabilities."
OBAMA,26.9,time 3,candidate,"But number five, the other thing that we have to do is recognize that we can't continue to do nation building in these regions."
OBAMA,28.1,time 2,candidate,Not true.
OBAMA,28.1,time 3,candidate,"What we've done is organize the international community, saying Assad has to go."
OBAMA,28.1,time 3,candidate,"But what we can't do is to simply suggest that, as Governor Romney at times has suggested, that giving heavy weapons, for example, to the Syrian opposition is a simple proposition that would lead us to be safer over the long term."
OBAMA,28.2,time 3,candidate,We've mobilized sanctions against that government.
OBAMA,28.3,time 3,candidate,We have made sure that they are isolated.
OBAMA,28.4,time 3,candidate,"We have provided humanitarian assistance and we are helping the opposition organize, and we're particularly interested in making sure that we're mobilizing the moderate forces inside of Syria."
OBAMA,28.5,time 3,candidate,"But ultimately, Syrians are going to have to determine their own future."
OBAMA,28.6,time 3,candidate,"And so everything we're doing, we're doing in consultation with our partners in the region, including Israel which obviously has a huge interest in seeing what happens in Syria; coordinating with Turkey and other countries in the region that have a great interest in this."
OBAMA,28.7,time 3,candidate,"This what we're seeing taking place in Syria is heartbreaking, and that's why we are going to do everything we can to make sure that we are helping the opposition."
OBAMA,28.8,time 3,candidate,"But we also have to recognize that, you know, for us to get more entangled militarily in Syria is a serious step, and we have to do so making absolutely certain that we know who we are helping; that we're not putting arms in the hands of folks who eventually could turn them against us or allies in the region."
OBAMA,28.9,time 3,candidate,And I am confident that Assad's days are numbered.
OBAMA,30.1,time 2,candidate,"Governor, we have actually produced more oil."
OBAMA,32.1,time 2,candidate,"Governor Romney, here's what we did."
OBAMA,32.2,time 2,candidate,There were a whole bunch of oil companies.
OBAMA,33.1,time 3,candidate,We are playing the leadership role.
OBAMA,33.1,time 3,candidate,Imagine if we had pulled out at that point.
OBAMA,33.11,time 3,candidate,"You know, Moammar Gadhafi had more American blood on his hands than any individual other than Osama bin Laden."
OBAMA,33.12,time 3,candidate,And so we were going to make sure that we finished the job.
OBAMA,33.13,time 3,candidate,That's part of the reason why the Libyans stand with us.
OBAMA,33.14,time 3,candidate,"But we did so in a careful, thoughtful way, making certain that we knew who we were dealing with, that those forces of moderation on the ground were ones that we could work with, and we have to take the same kind of steady, thoughtful leadership when it comes to Syria."
OBAMA,33.15,time 3,candidate,That's exactly what we're doing.
OBAMA,33.2,time 3,candidate,We organized the Friends of Syria.
OBAMA,33.3,time 3,candidate,"We are mobilizing humanitarian support, and support for the opposition."
OBAMA,33.4,time 3,candidate,And we are making sure that those we help are those who will be friends of ours in the long term and friends of our allies in the region over the long term.
OBAMA,33.5,time 3,candidate,But going back to Libya because this is an example of how we make choices.
OBAMA,33.6,time 3,candidate,"When we went in to Libya, and we were able to immediately stop the massacre there, because of the unique circumstances and the coalition that we had helped to organize."
OBAMA,33.7,time 3,candidate,We also had to make sure that Moammar Gadhafi didn't stay there.
OBAMA,33.8,time 3,candidate,"And to the governor's credit, you supported us going into Libya and the coalition that we organized."
OBAMA,33.9,time 3,candidate,"But when it came time to making sure that Gadhafi did not stay in power, that he was captured, Governor, your suggestion was that this was mission creep, that this was mission muddle."
OBAMA,34.1,time 2,candidate,You want me to answer a question?
OBAMA,36.1,time 2,candidate,I'm happy to answer the question.
OBAMA,38.1,time 1,candidate,I think this is a great example.
OBAMA,38.1,time 1,candidate,"We said you've got banks, you've got to raise your capital requirements."
OBAMA,38.1,time 2,candidate,Here's what happened.
OBAMA,38.11,time 1,candidate,You can't engage in some of this risky behavior that is putting Main Street at risk.
OBAMA,38.12,time 1,candidate,We've going to make sure that you've got to have a living will so so we can know how you're going to wind things down if you make a bad bet so we don't have other taxpayer bailouts.
OBAMA,38.13,time 1,candidate,"In the meantime, by the way, we also made sure that all the help that we provided those banks was paid back every single dime, with interest."
OBAMA,38.14,time 1,candidate,"Now, Governor Romney has said he wants to repeal Dodd Frank."
OBAMA,38.15,time 1,candidate,"And, you know, I appreciate and it appears we've got some agreement that a marketplace to work has to have some regulation."
OBAMA,38.16,time 1,candidate,"But in the past, Governor Romney has said he just want to repeal Dodd Frank, roll it back."
OBAMA,38.17,time 1,candidate,And so the question is: Does anybody out there think that the big problem we had is that there was too much oversight and regulation of Wall Street?
OBAMA,38.18,time 1,candidate,"Because if you do, then Governor Romney is your candidate."
OBAMA,38.19,time 1,candidate,But that's not what I believe.
OBAMA,38.2,time 1,candidate,The reason we have been in such a enormous economic crisis was prompted by reckless behavior across the board.
OBAMA,38.2,time 2,candidate,You had a whole bunch of oil companies who had leases on public lands that they weren't using.
OBAMA,38.3,time 1,candidate,"Now, it wasn't just on Wall Street."
OBAMA,38.3,time 2,candidate,"So what we said was you can't just sit on this for ten, twenty, thirty years, decide when you want to drill, when you want to produce, when it's most profitable for you."
OBAMA,38.4,time 1,candidate,"You had loan officers were that were giving loans and mortgages that really shouldn't have been given, because the folks didn't qualify."
OBAMA,38.4,time 2,candidate,These are public lands.
OBAMA,38.5,time 1,candidate,You had people who were borrowing money to buy a house that they couldn't afford.
OBAMA,38.5,time 2,candidate,"So if you want to drill on public lands, you use it or you lose it."
OBAMA,38.6,time 1,candidate,You had credit agencies that were stamping these as Aone great investments when they weren't.
OBAMA,38.7,time 1,candidate,"But you also had banks making money hand over fist, churning out products that the bankers themselves didn't even understand, in order to make big profits, but knowing that it made the entire system vulnerable."
OBAMA,38.8,time 1,candidate,So what did we do?
OBAMA,38.9,time 1,candidate,We stepped in and had the toughest reforms on Wall Street since the one thousand nine hundred thirtys.
OBAMA,39.1,time 3,candidate,"Well, I'll I'll be very quick."
OBAMA,39.2,time 3,candidate,What you just heard Governor Romney said is he doesn't have different ideas.
OBAMA,39.3,time 3,candidate,And that's because we're doing exactly what we should be doing to try to promote a moderate Syrian leadership and a an effective transition so that we get Assad out.
OBAMA,39.4,time 3,candidate,That's the kind of leadership we've shown.
OBAMA,39.5,time 3,candidate,That's the kind of leadership we'll continue to show.
OBAMA,40.1,time 2,candidate,And so what we did was take away those leases.
OBAMA,40.2,time 2,candidate,And we are now reletting them so that we can actually make a profit.
OBAMA,41.1,time 3,candidate,Right.
OBAMA,42.1,time 2,candidate,Production is up.
OBAMA,43.1,time 1,candidate,"Well, four years ago, when I was running for office, I was traveling around and having those same conversations that Governor Romney talks about."
OBAMA,43.1,time 1,candidate,You keep your own insurance.
OBAMA,43.1,time 3,candidate,"No, I don't, because I think that America has to stand with democracy."
OBAMA,43.1,time 3,candidate,"And we will help them with respect to developing their own economy, because ultimately what's going to make the Egyptian revolution successful for the people of Egypt, but also for the world, is if those young people who gathered there are seeing opportunities."
OBAMA,43.11,time 1,candidate,You keep your own doctor.
OBAMA,43.11,time 3,candidate,Their aspirations are similar to young people's here.
OBAMA,43.12,time 1,candidate,But it does say insurance companies can't jerk you around.
OBAMA,43.12,time 3,candidate,"They want jobs, they want to be able to make sure their kids are going to a good school."
OBAMA,43.13,time 1,candidate,They can't impose arbitrary lifetime limits.
OBAMA,43.13,time 3,candidate,They want to make sure that they have a roof over their heads and that they have the prospects of a better life in the future.
OBAMA,43.14,time 1,candidate,They have to let you keep your kid on their insurance your insurance plan until you're twenty six years old.
OBAMA,43.14,time 3,candidate,"And so one of the things that we've been doing is, is, for example, organizing entrepreneurship conferences with these Egyptians to give them a sense of how they can start rebuilding their economy in a way that's noncorrupt, that's transparent."
OBAMA,43.15,time 1,candidate,And it also says that you're going to have to get rebates if insurance companies are spending more on administrative costs and profits than they are on actual care.
OBAMA,43.15,time 3,candidate,"But what is also important for us to understand is, is that for America to be successful in this region there's some things that we're going to have to do here at home as well."
OBAMA,43.16,time 1,candidate,"Number two, if you don't have health insurance, we're essentially setting up a group plan that allows you to benefit from group rates that are typically eighteen percent lower than if you're out there trying to get insurance on the individual market."
OBAMA,43.16,time 3,candidate,"You know, one of the challenges over the last decade is we've done experiments in nation building in places like Iraq and Afghanistan and we've neglected, for example, developing our own economy, our own energy sectors, our own education system."
OBAMA,43.17,time 1,candidate,"Now, the last point I'd make before|"
OBAMA,43.17,time 3,candidate,And it's very hard for us to project leadership around the world when we're not doing what we need to do|
OBAMA,43.2,time 1,candidate,And it wasn't just that small businesses were seeing costs skyrocket and they couldn't get affordable coverage even if they wanted to provide it to their employees.
OBAMA,43.2,time 3,candidate,"The notion that we would have tanks run over those young people who were in Tahrir Square, that is not the kind of American leadership that John F."
OBAMA,43.3,time 1,candidate,"It wasn't just that this was the biggest driver of our federal deficit, our overall health care costs, but it was families who were worried about going bankrupt if they got sick, millions of families, all across the country."
OBAMA,43.3,time 3,candidate,Kennedy talked about fifty years ago.
OBAMA,43.4,time 1,candidate,"If they had a pre existing condition, they might not be able to get coverage at all."
OBAMA,43.4,time 3,candidate,"But what I've also said is that now that you have a democratically elected government in Egypt, that they have to make sure that they take responsibility for protecting religious minorities."
OBAMA,43.5,time 1,candidate,"If they did have coverage, insurance companies might impose an arbitrary limit."
OBAMA,43.5,time 3,candidate,"And we have put significant pressure on them to make sure they're doing that; to recognize the rights of women, which is critical throughout the region."
OBAMA,43.6,time 1,candidate,"And so as a consequence, they're paying their premiums, somebody gets really sick, lo and behold, they don't have enough money to pay the bills, because the insurance companies say that they've hit the limit."
OBAMA,43.6,time 3,candidate,These countries can't develop if young women are not given the kind of education that they need.
OBAMA,43.7,time 1,candidate,"So we did work on this, alongside working on jobs, because this is part of making sure that middle class families are secure in this country."
OBAMA,43.7,time 3,candidate,They have to abide by their treaty with Israel.
OBAMA,43.8,time 1,candidate,And let me tell you exactly what Obamacare did.
OBAMA,43.8,time 3,candidate,"That is a red line for us, because not only is Israel's security at stake, but our security is at stake if that unravels."
OBAMA,43.9,time 1,candidate,"Number one, if you've got health insurance, it doesn't mean a government takeover."
OBAMA,43.9,time 3,candidate,They have to make sure that they're cooperating with us when it comes to counterterrorism.
OBAMA,44.1,time 2,candidate,"No, it isn't."
OBAMA,45.1,time 1,candidate,"No, I think I had five seconds before you interrupted me, was the irony is that we've seen this model work really well in Massachusetts, because Governor Romney did a good thing, working with Democrats in the state to set up what is essentially the identical model and as a consequence people are covered there."
OBAMA,45.2,time 1,candidate,It hasn't destroyed jobs.
OBAMA,45.3,time 1,candidate,"And as a consequence, we now have a system in which we have the opportunity to start bringing down costs, as opposed to just leaving millions of people out in the cold."
OBAMA,46.1,time 2,candidate,Governor.
OBAMA,48.1,time 1,candidate,Governor Romney said this has to be done on a bipartisan basis.
OBAMA,48.1,time 1,candidate,And there are ways of doing it.
OBAMA,48.1,time 2,candidate,It's just not true.
OBAMA,48.11,time 1,candidate,"So at Cleveland Clinic, one of the best health care systems in the world, they actually provide great care cheaper than average."
OBAMA,48.12,time 1,candidate,And the reason they do is because they do some smart things.
OBAMA,48.13,time 1,candidate,"They they say, if a patient's coming in, let's get all the doctors together at once, do one test instead of having the patient run around with ten tests."
OBAMA,48.14,time 1,candidate,Let's make sure that we're providing preventive care so we're catching the onset of something like diabetes.
OBAMA,48.15,time 1,candidate,Let's let's pay providers on the basis of performance as opposed to on the basis of how many procedures they've they've engaged in.
OBAMA,48.16,time 1,candidate,"Now, so what this board does is basically identifies best practices and says, let's use the purchasing power of Medicare and Medicaid to help to institutionalize all these good things that we do."
OBAMA,48.17,time 1,candidate,"And the fact of the matter is that, when Obamacare is fully implemented, we're going to be in a position to show that costs are going down."
OBAMA,48.18,time 1,candidate,"And over the last two years, health care premiums have gone up it's true but they've gone up slower than any time in the last fifty years."
OBAMA,48.19,time 1,candidate,So we're already beginning to see progress.
OBAMA,48.2,time 1,candidate,This was a bipartisan idea.
OBAMA,48.2,time 1,candidate,"In the meantime, folks out there with insurance, you're already getting a rebate."
OBAMA,48.21,time 1,candidate,Let me make one last point.
OBAMA,48.22,time 1,candidate,"Governor Romney says, we should replace it, I'm just going to repeal it, but but we can replace it with something."
OBAMA,48.23,time 1,candidate,"But the problem is, he hasn't described what exactly we'd replace it with, other than saying we're going to leave it to the states."
OBAMA,48.24,time 1,candidate,"But the fact of the matter is that some of the prescriptions that he's offered, like letting you buy insurance across state lines, there's no indication that that somehow is going to help somebody who's got a pre existing condition be able to finally buy insurance."
OBAMA,48.25,time 1,candidate,"In fact, it's estimated that by repealing Obamacare, you're looking at fifty million people losing health insurance|"
OBAMA,48.3,time 1,candidate,"In fact, it was a Republican idea."
OBAMA,48.4,time 1,candidate,And Governor Romney at the beginning of this debate wrote and said what we did in Massachusetts could be a model for the nation.
OBAMA,48.5,time 1,candidate,"And I agree that the Democratic legislators in Massachusetts might have given some advice to Republicans in Congress about how to cooperate, but the fact of the matter is, we used the same advisers, and they say it's the same plan."
OBAMA,48.6,time 1,candidate,"It when Governor Romney talks about this board, for example, unelected board that we've created, what this is, is a group of health care experts, doctors, et cetera, to figure out, how can we reduce the cost of care in the system overall?"
OBAMA,48.7,time 1,candidate,Because there there are two ways of dealing with our health care crisis.
OBAMA,48.8,time 1,candidate,"One is to simply leave a whole bunch of people uninsured and let them fend for themselves, to let businesses figure out how long they can continue to pay premiums until finally they just give up, and their workers are no longer getting insured, and that's been the trend line."
OBAMA,48.9,time 1,candidate,"Or, alternatively, we can figure out, how do we make the cost of care more effective?"
OBAMA,50.1,time 1,candidate,at a time when it's vitally important.
OBAMA,50.1,time 2,candidate,Well|
OBAMA,51.1,time 3,candidate,America remains the one indispensable nation.
OBAMA,51.1,time 3,candidate,We've cut our oil imports to the lowest level in two decades because we've developed oil and natural gas.
OBAMA,51.11,time 3,candidate,But we also have to develop clean energy technologies that will allow us to cut our exports in half by two thousand twenty.
OBAMA,51.12,time 3,candidate,That's the kind of leadership that we need to show.
OBAMA,51.13,time 3,candidate,And we've got to make sure that we reduce our deficit.
OBAMA,51.14,time 3,candidate,"Unfortunately, Governor Romney's plan doesn't do it."
OBAMA,51.15,time 3,candidate,"We've got to do it in a responsible way by cutting out spending we don't need, but also asking the wealthiest to pay a little bit more."
OBAMA,51.16,time 3,candidate,That way we can invest in the research and technology that's always kept us at the cutting edge.
OBAMA,51.17,time 3,candidate,"Now, Governor Romney has taken a different approach throughout this campaign."
OBAMA,51.18,time 3,candidate,"Both at home and abroad, he has proposed wrong and reckless policies."
